"","Community","chiefOfficial","policyBoard","legislativeBody","city","cityCharter","policySize","legislativeSize","homeRule"
"274","SOMERVILLE ","Mayor","","Council ",TRUE,"(A)",NA,"11",NA
"275","Southampton","TA","Select Board ","OTM",FALSE,NA,"5",NA,NA
"276","Southborough","TA","Selectmen ","OTM",FALSE,NA,"5",NA,NA
"277","SOUTHBRIDGE ","TM","","Council ",TRUE,NA,NA,"9","1974"
"278","South Hadley","TA","Select Board ","RTM",FALSE,NA,"5",NA,NA
"279","Southwick","CAO","Select Board ","OTM",FALSE,NA,"3",NA,NA
"280","Spencer","TA","Selectmen ","OTM",FALSE,NA,"5",NA,NA
"281","SPRINGFIELD ","Mayor","","Council ",TRUE,"(A)",NA,"13",NA
"282","Sterling","TA","Selectmen ","OTM",FALSE,NA,"3",NA,NA
"283","Stockbridge ","TA","Select Board ","OTM",FALSE,NA,"3",NA,"1937"
"284","Stoneham","TA","Select Board ","OTM",FALSE,NA,"5",NA,NA
"285","Stoughton ","TM","Select Board ","RTM",FALSE,NA,"5",NA,"1972"
"286","Stow","TA","Selectmen ","OTM",FALSE,NA,"5",NA,NA
"287","Sturbridge ","TA","Selectmen ","OTM",FALSE,NA,"5",NA,"1973"
"288","Sudbury ","TM","Selectmen ","OTM",FALSE,NA,"5",NA,"1994"
"289","Sunderland","TA","Select Board ","OTM",FALSE,NA,"3",NA,NA
"290","Sutton ","TM","Select Board ","OTM",FALSE,NA,"5",NA,"1988"
"291","Swampscott ","TA","Select Board ","RTM",FALSE,NA,"5",NA,"1969"
"292","Swansea","TA","Selectmen ","OTM",FALSE,NA,"3",NA,NA
"293","TAUNTON","Mayor","","Council ",TRUE,NA,NA,"9",NA
"294","Templeton","TA","Selectmen ","OTM",FALSE,NA,"5",NA,NA
"295","Tewksbury","TM","Selectmen ","OTM",FALSE,NA,"5",NA,NA
"296","Tisbury","TA","Select Board ","OTM",FALSE,NA,"3",NA,NA
"297","Tolland","","Selectmen ","OTM",FALSE,NA,"3",NA,NA
"298","Topsfield","TA","Select Board ","OTM",FALSE,NA,"5",NA,NA
"299","Townsend","TA","Selectmen ","OTM",FALSE,NA,"3",NA,NA
"300","Truro","TM","Select Board ","OTM",FALSE,NA,"5",NA,NA
"301","Tyngsborough","TA","Selectmen ","OTM",FALSE,NA,"5",NA,NA
"302","Tyringham","TA","Selectmen ","OTM",FALSE,NA,"3",NA,NA
"303","Upton","TM","Selectmen ","OTM",FALSE,NA,"3",NA,NA
"304","Uxbridge","TM","Selectmen ","OTM",FALSE,NA,"5",NA,NA
"305","Wakefield","TA","Council *","OTM",FALSE,NA,"7",NA,NA
"306","Wales","ES","Select Board ","OTM",FALSE,NA,"3",NA,NA
"307","Walpole ","TA","Selectmen ","RTM",FALSE,NA,"5",NA,"1973"
"308","WALTHAM ","Mayor","","Council ",TRUE,"(B)",NA,"15",NA
"309","Ware","TM","Selectmen ","OTM",FALSE,NA,"5",NA,NA
"310","Wareham ","TA","Selectmen ","OTM",FALSE,NA,"5",NA,"1977"
"311","Warren","","Selectmen ","OTM",FALSE,NA,"3",NA,NA
